Date,Open,High,Low,Close,Adj Close,Volume
2007-01-11,100.000000,100.000000,99.919998,99.919998,76.922722,1100
2007-01-12,99.879997,99.930000,99.849998,99.930000,76.930397,1500
2007-01-16,99.830002,99.830002,99.830002,99.830002,76.853447,600
2007-01-17,99.940002,99.940002,99.809998,99.820000,76.845711,700
2007-01-18,99.839996,99.910004,99.839996,99.910004,76.915001,6200
2007-01-19,99.860001,99.860001,99.779999,99.800003,76.830315,2000
2007-01-22,99.900002,99.900002,99.849998,99.849998,76.868813,1200
2007-01-23,99.750000,99.750000,99.709999,99.709999,76.761040,1200
2007-01-24,99.750000,99.750000,99.750000,99.750000,76.791840,1300
2007-01-25,99.660004,99.660004,99.550003,99.550003,76.637871,2100
2007-01-26,99.529999,99.559998,99.480003,99.559998,76.645554,1200
2007-01-29,99.599998,99.610001,99.500000,99.529999,76.622498,3100
2007-01-30,99.610001,99.610001,99.580002,99.580002,76.660957,400
2007-01-31,99.669998,99.839996,99.669998,99.839996,76.861099,3600
2007-02-01,99.739998,99.739998,99.519997,99.529999,76.812508,1600
2007-02-02,99.550003,99.660004,99.550003,99.580002,76.851059,6800
2007-02-05,99.709999,99.709999,99.709999,99.709999,76.951393,7100
2007-02-06,99.669998,99.879997,99.669998,99.879997,77.082611,6600
2007-02-07,99.949997,99.989998,99.940002,99.989998,77.167519,2200
2007-02-08,99.970001,100.029999,99.949997,100.029999,77.198364,7500
2007-02-09,99.809998,99.809998,99.809998,99.809998,77.028603,2000
2007-02-12,99.800003,99.860001,99.709999,99.730003,76.966835,5000
2007-02-13,99.800003,99.800003,99.690002,99.690002,76.936005,1900
2007-02-14,99.889999,100.129997,99.889999,100.120003,77.267860,16600
2007-02-15,100.239998,100.300003,100.220001,100.269997,77.383553,9900
2007-02-16,100.290001,100.290001,100.260002,100.279999,77.391273,16300
2007-02-20,100.239998,100.320000,100.239998,100.269997,77.383553,5400
2007-02-21,100.300003,100.360001,100.300003,100.360001,77.453049,1900
2007-02-22,100.209999,100.209999,100.209999,100.209999,77.337250,200
2007-02-23,100.230003,100.470001,100.230003,100.419998,77.499374,13300
2007-02-26,100.550003,100.620003,100.540001,100.589996,77.630585,1400
2007-02-27,100.830002,101.269997,100.830002,101.199997,78.101326,12300
2007-02-28,101.199997,101.199997,100.970001,101.019997,77.962471,126000
2007-03-01,100.820000,100.949997,100.680000,100.680000,77.977196,48700
2007-03-02,100.919998,100.959999,100.839996,100.959999,78.193970,13600
2007-03-05,101.099998,101.110001,100.959999,100.989998,78.217178,8500
2007-03-06,100.849998,101.010002,100.800003,100.889999,78.139763,10200
2007-03-07,100.900002,101.029999,100.900002,101.029999,78.248199,4600
2007-03-08,100.980003,101.050003,100.970001,101.050003,78.263702,3500
2007-03-09,100.620003,100.730003,100.620003,100.690002,77.984879,8400
2007-03-12,100.769997,100.900002,100.769997,100.870003,78.124329,8300
2007-03-13,101.089996,101.269997,101.050003,101.180000,78.364433,25200
2007-03-14,101.199997,101.300003,101.139999,101.160004,78.348907,5000
2007-03-15,101.129997,101.129997,101.050003,101.059998,78.271408,20500
2007-03-16,101.000000,101.099998,101.000000,101.080002,78.286911,9500
2007-03-19,100.900002,100.970001,100.889999,100.910004,78.155243,2000
2007-03-20,101.099998,101.110001,101.059998,101.070000,78.279167,10100
2007-03-21,101.070000,101.360001,100.989998,101.269997,78.434082,28000
2007-03-22,101.199997,101.199997,101.050003,101.080002,78.286911,4300
2007-03-23,101.180000,101.180000,100.980003,100.980003,78.209496,17400
2007-03-26,100.959999,101.250000,100.959999,101.110001,78.310150,8200
2007-03-27,101.059998,101.099998,101.029999,101.089996,78.294662,31500
2007-03-28,101.230003,101.300003,101.120003,101.120003,78.317924,2100
2007-03-29,101.000000,101.070000,101.000000,101.010002,78.232666,7100
2007-03-30,101.050003,101.150002,100.839996,101.000000,78.224991,27600
2007-04-02,100.730003,100.730003,100.540001,100.639999,78.228104,25100
2007-04-03,100.510002,100.660004,100.510002,100.550003,78.158119,8200
2007-04-04,100.779999,100.830002,100.589996,100.790001,78.344704,19400
2007-04-05,100.739998,100.739998,100.550003,100.620003,78.212555,3300
2007-04-09,100.099998,100.239998,100.099998,100.220001,77.901627,6900
2007-04-10,100.389999,100.389999,100.330002,100.349998,78.002686,5500
2007-04-11,100.459999,100.489998,100.279999,100.339996,77.994904,4800
2007-04-12,100.330002,100.370003,100.300003,100.320000,77.979294,3500
2007-04-13,100.339996,100.339996,100.129997,100.209999,77.893806,15200
2007-04-16,100.250000,100.330002,100.230003,100.279999,77.948235,3100
2007-04-17,100.449997,100.599998,100.449997,100.599998,78.196976,2200
2007-04-18,100.699997,100.769997,100.699997,100.750000,78.313568,6300
2007-04-19,100.849998,100.849998,100.650002,100.750000,78.313568,2800
2007-04-20,100.650002,100.750000,100.650002,100.720001,78.290237,3500
2007-04-23,100.709999,100.879997,100.709999,100.860001,78.399055,1900
2007-04-24,101.050003,101.050003,101.019997,101.029999,78.531219,1300
2007-04-25,100.940002,101.029999,100.910004,100.919998,78.445686,7100
2007-04-26,100.889999,100.889999,100.760002,100.760002,78.321358,6900
2007-04-27,100.769997,100.769997,100.699997,100.760002,78.321358,1700
2007-04-30,100.930000,101.059998,100.919998,101.059998,78.554535,8800
2007-05-01,100.779999,100.779999,100.550003,100.629997,78.509270,7600
2007-05-02,100.620003,100.620003,100.529999,100.589996,78.478111,28400
2007-05-03,100.489998,100.500000,100.389999,100.500000,78.407845,12900
2007-05-04,100.650002,100.669998,100.599998,100.650002,78.524910,64900
2007-05-07,100.519997,100.690002,100.519997,100.690002,78.556114,1500
2007-05-08,100.699997,100.760002,100.680000,100.709999,78.571747,8800
2007-05-09,100.699997,100.739998,100.470001,100.550003,78.446899,10300
2007-05-10,100.570000,100.650002,100.570000,100.650002,78.524910,12200
2007-05-11,100.830002,100.830002,100.580002,100.580002,78.470299,1400
2007-05-14,100.559998,100.559998,100.430000,100.430000,78.353249,8400
2007-05-15,100.500000,100.550003,100.360001,100.440002,78.361046,8300
2007-05-16,100.449997,100.519997,100.449997,100.510002,78.415634,4700
2007-05-17,100.349998,100.410004,100.260002,100.279999,78.236198,8800
2007-05-18,100.239998,100.260002,100.050003,100.099998,78.095825,3300
2007-05-21,100.050003,100.239998,100.050003,100.239998,78.205017,5300
2007-05-22,100.059998,100.150002,99.989998,99.989998,78.009987,9900
2007-05-23,100.129997,100.129997,99.970001,99.989998,78.009987,4000
2007-05-24,100.019997,100.040001,99.849998,100.029999,78.041199,11400
2007-05-25,99.959999,100.040001,99.919998,99.930000,77.963165,10600
2007-05-29,99.949997,99.949997,99.790001,99.839996,77.892975,10800
2007-05-30,100.050003,100.050003,99.839996,99.900002,77.939781,18600
2007-05-31,99.889999,99.910004,99.680000,99.809998,77.869545,9600
2007-06-01,99.050003,99.290001,99.019997,99.120003,77.629105,49100
2007-06-04,99.120003,99.250000,99.059998,99.250000,77.730904,6800
2007-06-05,99.089996,99.110001,98.930000,99.040001,77.566475,16600
